"rank","Name","Country","Population","Prev","Growth"
"40","Luanda","Angola","8631876","8329798","0.0363"
"41","Wuhan","China","8473405","8364977","0.0130"
"42","Xi-an Shaanxi","China","8274651","8000965","0.0342"
"43","Ahmedabad","India","8253226","8059441","0.0240"
"44","New York City","United States","8230290","8283550","-0.0064"
"45","Kuala Lumpur","Malaysia","8210745","7996830","0.0267"
"46","Hangzhou","China","7845501","7642147","0.0266"
"47","Hong Kong","Hong Kong","7598189","7547652","0.0067"
"48","Surat","India","7489742","7184590","0.0425"
"49","Dongguan","China","7451889","7407852","0.0059"
"50","Suzhou","China","7427096","7069992","0.0505"
"51","Foshan","China","7406751","7326852","0.0109"
"52","Riyadh","Saudi Arabia","7387817","7231447","0.0216"
"53","Shenyang","China","7373655","7220104","0.0213"
"54","Baghdad","Iraq","7323079","7144260","0.0250"
"55","Dar es Salaam","Tanzania","7046892","6701650","0.0515"
"56","Santiago","Chile","6811595","6767223","0.0066"
"57","Pune","India","6807984","6629347","0.0269"
"58","Madrid","Spain","6668865","6617513","0.0078"
"59","Haerbin","China","6526439","6387195","0.0218"
"60","Toronto","Canada","6254571","6196731","0.0093"
"61","Belo Horizonte","Brazil","6139774","6084430","0.0091"
"62","Singapore","Singapore","5991801","5935053","0.0096"
"63","Khartoum","Sudan","5989024","5828858","0.0275"
"64","Johannesburg","South Africa","5926668","5782747","0.0249"
"65","Dalian","China","5775938","5617849","0.0281"
"66","Qingdao","China","5742486","5619977","0.0218"
"67","Barcelona","Spain","5624498","5585556","0.0070"
"68","Fukuoka","Japan","5516158","5528632","-0.0023"
"69","Ji-nan Shandong","China","5513597","5360185","0.0286"
"70","Zhengzhou","China","5510341","5322696","0.0353"
"71","Saint Petersburg","Russia","5504305","5467808","0.0067"
"72","Yangon","Myanmar","5421806","5331800","0.0169"
"73","Alexandria","Egypt","5381101","5280664","0.0190"
"74","Abidjan","Ivory Coast","5354826","5202762","0.0292"
"75","Guadalajara","Mexico","5259296","5179479","0.0154"
"76","Ankara","Turkey","5215747","5117603","0.0192"
"77","Chittagong","Bangladesh","5132751","5019824","0.0225"
"78","Melbourne","Australia","5061439","4967733","0.0189"
"79","Addis Ababa","Ethiopia","5005524","4793699","0.0442"
"80","Sydney","Australia","4991654","4925987","0.0133"
"81","Monterrey","Mexico","4955506","4874095","0.0167"
"82","Nairobi","Kenya","4922192","4734881","0.0396"
"83","Hanoi","Vietnam","4874982","4678198","0.0421"
"84","Brasilia","Brazil","4727902","4645843","0.0177"
"85","Cape Town","South Africa","4709990","4617560","0.0200"
"86","Jiddah","Saudi Arabia","4696535","4610176","0.0187"
"87","Changsha","China","4694722","4577723","0.0256"
"88","Kunming","China","4550831","4443186","0.0242"
"89","Urumqi","China","4543684","4368865","0.0400"
"90","Changchun","China","4520695","4425761","0.0215"
"91","Xinbei","Taiwan","4434905","4398383","0.0083"
"92","Shantou","China","4407928","4327316","0.0186"
"93","Hefei","China","4371005","4241514","0.0305"
"94","Kabul","Afghanistan","4335770","4221532","0.0271"
"95","Rome","Italy","4278350","4257056","0.0050"
"96","Ningbo","China","4263843","4116209","0.0359"
"97","Tel Aviv","Israel","4263745","4181479","0.0197"
"98","Montreal","Canada","4247446","4220566","0.0064"
"99","Shijiazhuang","China","4199392","4114393","0.0207"
"100","Recife","Brazil","4174774","4127091","0.0116"
"101","Yaounde","Cameroon","4164167","3992411","0.0430"
"102","Porto Alegre","Brazil","4160682","4137417","0.0056"
"103","Fortaleza","Brazil","4119633","4073465","0.0113"
"104","Kano","Nigeria","4103015","3999050","0.0260"
"105","Medellin","Colombia","4033783","4000263","0.0084"
"106","Jaipur","India","4007505","3909333","0.0251"
"107","Los Angeles","United States","3983540","3981560","0.0005"
"108","Taiyuan Shanxi","China","3975985","3891127","0.0218"
"109","Nanning","China","3974322","3859608","0.0297"
"110","Ekurhuleni","South Africa","3969937","3894262","0.0194"
"111","Salvador","Brazil","3880314","3839076","0.0107"
"112","Casablanca","Morocco","3793585","3752357","0.0110"
"113","Douala","Cameroon","3793363","3663227","0.0355"
"114","Xiamen","China","3790792","3720141","0.0190"
"115","Lucknow","India","3764619","3676515","0.0240"
"116","Fuzhou Fujian","China","3764559","3685701","0.0214"
"117","Changzhou","China","3749712","3625328","0.0343"
"118","Kozhikode","India","3742198","3555411","0.0525"
"119","Curitiba","Brazil","3726050","3678732","0.0129"
"120","Wenzhou","China","3725342","3623646","0.0281"
"121","Nanchang","China","3709958","3598421","0.0310"
"122","Ibadan","Nigeria","3649023","3551961","0.0273"
"123","Malappuram","India","3608928","3391277","0.0642"
"124","Berlin","Germany","3566791","3562038","0.0013"
"125","Tangshan Hebei","China","3562719","3425638","0.0400"
"126","Faisalabad","Pakistan","3542020","3462295","0.0230"
"127","Antananarivo","Madagascar","3531887","3368585","0.0485"
"128","Bekasi","Indonesia","3510050","3394273","0.0341"
"129","Kumasi","Ghana","3490030","3348062","0.0424"
"130","Kampala","Uganda","3469510","3298364","0.0519"
"131","Busan","South Korea","3465946","3465190","0.0002"
"132","Abuja","Nigeria","3464123","3277740","0.0569"
"133","Guiyang","China","3407463","3317110","0.0272"
"134","Asuncion","Paraguay","3394309","3336562","0.0173"
"135","Santo Domingo","Dominican Republic","3388809","3317784","0.0214"
"136","Campinas","Brazil","3343816","3300794","0.0130"
"137","Wuxi","China","3315113","3256020","0.0181"
"138","Mashhad","Iran","3264101","3208336","0.0174"
"139","Puebla","Mexico","3244710","3194848","0.0156"
"140","Dakar","Senegal","3229800","3140442","0.0285"
"141","Thrissur","India","3212604","3068164","0.0471"
"142","Kochi","India","3193029","3082055","0.0360"
"143","Kuwait City","Kuwait","3177315","3114553","0.0202"
"144","Durban","South Africa","3176254","3158313","0.0057"
"145","Port Harcourt","Nigeria","3171076","3020232","0.0499"
"146","Lanzhou","China","3153808","3080522","0.0238"
"147","Kanpur","India","3153425","3123990","0.0094"
"148","Athens","Greece","3153255","3153355","-0.0000"
"149","Milan","Italy","3144473","3140181","0.0014"
"150","Indore","India","3113445","3016713","0.0321"
"151","Pyongyang","North Korea","3108108","3084244","0.0077"
"152","Sanaa","Yemen","3075257","2972988","0.0344"
"153","Guayaquil","Ecuador","3042941","2994218","0.0163"
"154","Izmir","Turkey","3024020","2992953","0.0104"
"155","Kiev","Ukraine","3000604","2988176","0.0042"
"156","Guatemala City","Guatemala","2983174","2934841","0.0165"
"157","Surabaya","Indonesia","2972091","2944403","0.0094"
